"Name","AppID"
"Magnifier","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\magnify.exe"
"Mail","microsoft.windowscommunicationsapps_8wekyb3d8bbwe!microsoft.windowslive.mail"
"Manage Licenses 2024.1","Microsoft.AutoGenerated.{57F770DD-7512-A782-F362-5BD9DA15951B}"
"Maps","Microsoft.WindowsMaps_8wekyb3d8bbwe!App"
"MCC Tool Chest","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\MCCToolChest\MCCToolChest.exe"
"Media Player","Microsoft.ZuneMusic_8wekyb3d8bbwe!Microsoft.ZuneMusic"
"Microsoft 365 Copilot","Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe!Microsoft.MicrosoftOfficeHub"
"Microsoft Clipchamp","Clipchamp.Clipchamp_yxz26nhyzhsrt!App"
"Microsoft Edge","MSEdge"
"Microsoft Store","Microsoft.WindowsStore_8wekyb3d8bbwe!App"
"Microsoft Teams","com.squirrel.Teams.Teams"
"Microsoft Teams","MSTeams_8wekyb3d8bbwe!MSTeams"
"Microsoft To Do","Microsoft.Todos_8wekyb3d8bbwe!App"
"Minecraft","Microsoft.MinecraftUWP_8wekyb3d8bbwe!App"
"Minecraft Launcher","Microsoft.4297127D64EC6_8wekyb3d8bbwe!Minecraft"
"Modrinth App","com.modrinth.theseus"
"Modrinth App","ModrinthApp"
"Movies & TV","Microsoft.ZuneVideo_8wekyb3d8bbwe!Microsoft.ZuneVideo"
"MSP432 Tools Hardware User?s Guide","http://www.ti.com/lit/pdf/slau571"
"NanaZip","40174MouriNaruto.NanaZip_gnj4mf6z9tkrc!NanaZip.Modern"
"Narrator","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\narrator.exe"
"News","Microsoft.BingNews_8wekyb3d8bbwe!AppexNews"
"No Man's Sky","HelloGames.NoMansSky_bs190hzg1sesy!NoMansSky"
"Node.js","{6D809377-6AF0-444B-8957-A3773F02200E}\nodejs\node.exe"
"Node.js command prompt","Microsoft.AutoGenerated.{499EE7CA-7ED5-EBC9-AB09-80DC143D7B90}"
"Node.js documentation","https://nodejs.org/download/release/v14.15.4/docs/api/"
"Node.js website","https://nodejs.org/"
"Norton Security Ultra","NortonLifeLock.Norton Security"
"Notepad","Microsoft.WindowsNotepad_8wekyb3d8bbwe!App"
"NVIDIA","com.nvidia.nvapp"
"NVIDIA Control Panel","NVIDIACorp.NVIDIAControlPanel_56jybvy8sckqj!NVIDIACorp.NVIDIAControlPanel"
"OBS Studio (64bit)","{6D809377-6AF0-444B-8957-A3773F02200E}\obs-studio\bin\64bit\obs64.exe"
"ODBC Data Sources (32-bit)","{D65231B0-B2F1-4857-A4CE-A8E7C6EA7D27}\odbcad32.exe"
"ODBC Data Sources (64-bit)","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\odbcad32.exe"
"Office Language Preferences","Microsoft.Office.SETLANG.EXE.15"
"One Game Launcher","62269AlexShats.OneGameLauncher_gghb1w55myjr2!App"
"One Game Launcher (Lite)","62269AlexShats.OneGameLauncherBeta_gghb1w55myjr2!App"
"One Page Browser","62269AlexShats.DiscordforGameBar_gghb1w55myjr2!App"
"OneDrive","Microsoft.SkyDrive.Desktop"
"OneNote","Microsoft.Office.ONENOTE.EXE.15"
"On-Screen Keyboard","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\osk.exe"
"Oracle VirtualBox","{6D809377-6AF0-444B-8957-A3773F02200E}\Oracle\VirtualBox\VirtualBox.exe"
"Outlook (classic)","Microsoft.Office.OUTLOOK.EXE.15"
"Outlook (new)","Microsoft.OutlookForWindows_8wekyb3d8bbwe!Microsoft.OutlookforWindows"
"Overcooked! 2","Team17DigitalLimited.Overcooked2Win10_j5x4vj4y67jhc!App"
"Overwatch? 2","steam://rungameid/2357570"
"Overwolf","Overwolf.Client"
"Paint","Microsoft.Paint_8wekyb3d8bbwe!App"
"PairVPN","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\PairVPN\PairVPN.exe"
"Pal","PocketpairInc.Palworld_ad4psfrxyesvt!AppPalShipping"
"PAYDAY 2","steam://rungameid/218620"
"PC Health Check","C:\Users\chave\AppData\Local\PCHealthCheck\PCHealthCheck.exe"
"PDM 2024.1","C:\Xilinx\PDM\2024.1\bin\pdm.bat"
"Performance Monitor","Microsoft.AutoGenerated.{8AA47365-B2B3-1961-69EB-F866E376B12F}"
"Phone Link","Microsoft.YourPhone_8wekyb3d8bbwe!App"
"Photon","Chrome._crx_leoocfglakhjbnn.UserData.Profile1"
"Photos","Microsoft.Windows.Photos_8wekyb3d8bbwe!App"
"Planet9 Stub","tw.com.ulic.planet9launch"
"Power Automate","Microsoft.PowerAutomateDesktop_8wekyb3d8bbwe!PAD.Console"
"PowerDirector for acer","CyberLinkCorp.ac.PowerDirectorforacerDesktop_ypz87dpxkv292!PowerDirector"
"PowerPoint","Microsoft.Office.POWERPNT.EXE.15"
"PowerWash Simulator","39C668CD.PowerWashSimulator_r7bfsmp40f67j!Game"
"PredatorSense","AcerIncorporated.PredatorSenseV30_48frkmn4z8aw4!CentenialConvert"
"Prime Video for Windows","AmazonVideo.PrimeVideo_pwbj9vvecjh7j!App"
"Print Management","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\printmanagement.msc"
"Publisher","Microsoft.Office.MSPUB.EXE.15"
"PyCharm 2024.3.2","{6D809377-6AF0-444B-8957-A3773F02200E}\JetBrains\PyCharm 2024.3.2\bin\pycharm64.exe"
"PyCharm Community Edition 2024.2.1","{6D809377-6AF0-444B-8957-A3773F02200E}\JetBrains\PyCharm Community Edition 2024.2.1\bin\pycharm64.exe"
"Python 3.10","PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0!Python"
"Python 3.11","PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0!Python"
