"Name","PackageFullName","Publisher","InstallLocation","LaunchCommand"
"MicrosoftCorporationII.WindowsSubsystemForLinux","MicrosoftCorporationII.WindowsSubsystemForLinux_2.3.26.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Program Files\WindowsApps\MicrosoftCorporationII.WindowsSubsystemForLinux_2.3.26.0_x64__8wekyb3d8bbwe","shell:AppsFolder\MicrosoftCorporationII.WindowsSubsystemForLinux_8wekyb3d8bbwe"
"Microsoft.VCLibs.140.00","Microsoft.VCLibs.140.00_14.0.33519.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Program Files\WindowsApps\Microsoft.VCLibs.140.00_14.0.33519.0_x64__8wekyb3d8bbwe","shell:AppsFolder\Microsoft.VCLibs.140.00_8wekyb3d8bbwe"
"Microsoft.VCLibs.140.00.UWPDesktop","Microsoft.VCLibs.140.00.UWPDesktop_14.0.33728.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Program Files\WindowsApps\Microsoft.VCLibs.140.00.UWPDesktop_14.0.33728.0_x64__8wekyb3d8bbwe","shell:AppsFolder\Microsoft.VCLibs.140.00.UWPDesktop_8wekyb3d8bbwe"
"Microsoft.UI.Xaml.2.8","Microsoft.UI.Xaml.2.8_8.2310.30001.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Program Files\WindowsApps\Microsoft.UI.Xaml.2.8_8.2310.30001.0_x64__8wekyb3d8bbwe","shell:AppsFolder\Microsoft.UI.Xaml.2.8_8wekyb3d8bbwe"
"Microsoft.WindowsAppRuntime.1.5","Microsoft.WindowsAppRuntime.1.5_5001.373.1736.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.5_5001.373.1736.0_x64__8wekyb3d8bbwe","shell:AppsFolder\Microsoft.WindowsAppRuntime.1.5_8wekyb3d8bbwe"
"Microsoft.SecHealthUI","Microsoft.SecHealthUI_1000.27703.1006.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Program Files\WindowsApps\Microsoft.SecHealthUI_1000.27703.1006.0_x64__8wekyb3d8bbwe","shell:AppsFolder\Microsoft.SecHealthUI_8wekyb3d8bbwe"
"Microsoft.WindowsFeedbackHub","Microsoft.WindowsFeedbackHub_1.2411.17101.0_x64__8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","C:\Program Files\WindowsApps\Microsoft.WindowsFeedbackHub_1.2411.17101.0_x64__8wekyb3d8bbwe","shell:AppsFolder\Microsoft.WindowsFeedbackHub_8wekyb3d8bbwe"
"47492CenterpointGaming.ProSightCrosshairExtension","47492CenterpointGaming.ProSightCrosshairExtension_1.6.0.0_x64__rz8d8f65gztyc","CN=747CF5E3-AC1C-4505-8387-083BCE1B82DC","C:\Program Files\WindowsApps\47492CenterpointGaming.ProSightCrosshairExtension_1.6.0.0_x64__rz8d8f65gztyc","shell:AppsFolder\47492CenterpointGaming.ProSightCrosshairExtension_rz8d8f65gztyc"
"AcerIncorporated.PredatorSenseV30","AcerIncorporated.PredatorSenseV30_3.0.3186.0_x64__48frkmn4z8aw4","CN=EAF76292-FADE-4EAB-A62C-FE5E78661D58","C:\Program Files\WindowsApps\AcerIncorporated.PredatorSenseV30_3.0.3186.0_x64__48frkmn4z8aw4","shell:AppsFolder\AcerIncorporated.PredatorSenseV30_48frkmn4z8aw4"
"RealtekSemiconductorCorp.RealtekAudioControl","RealtekSemiconductorCorp.RealtekAudioControl_1.41.294.0_x64__dt26b99r8h8gj","CN=83564403-0B26-46B8-9D84-040F43691D31","C:\Program Files\WindowsApps\RealtekSemiconductorCorp.RealtekAudioControl_1.41.294.0_x64__dt26b99r8h8gj","shell:AppsFolder\RealtekSemiconductorCorp.RealtekAudioControl_dt26b99r8h8gj"
